filename,num_nodes,num_edges,num_cc,dens,max_diam,l_channels_km,depth_mean
config_full\config_full_69_bedelevation,198,222,14,0.7437,8.27,81.81,-1.12741807759009
config_full\config_full_6_bedelevation,179,206,14,0.763,8.41,82.1,-1.0886906219660195
config_full\config_full_70_bedelevation,188,221,12,0.7795,7.35,78.31,-1.0864712029411765
config_full\config_full_71_bedelevation,187,212,12,0.7518,6.03,80.4,-0.9917767754009433
config_full\config_full_72_bedelevation,193,208,25,0.7148,6.62,75.15,-0.9088586996826924
config_full\config_full_73_bedelevation,184,199,18,0.7171,8.96,75.33,-0.940092449798995
config_full\config_full_74_bedelevation,197,217,24,0.7306,7.14,79.88,-1.0512242171843318
config_full\config_full_75_bedelevation,182,197,19,0.7177,6.97,79.37,-1.0515753419035534
config_full\config_full_76_bedelevation,186,206,16,0.7344,6.18,81.16,-1.0655826791262135
config_full\config_full_77_bedelevation,192,220,15,0.7599,7.65,79.42,-0.9770097378636362
config_full\config_full_78_bedelevation,161,192,12,0.7901,6.86,72.99,-1.02220447015625
config_full\config_full_79_bedelevation,198,222,20,0.7437,6.87,72.26,-1.1109593901351351
config_full\config_full_7_bedelevation,179,202,12,0.7481,6.48,79.32,-0.9934135259702971
config_full\config_full_80_bedelevation,196,226,17,0.7648,7.47,83.08,-1.0188340127654867
config_full\config_full_81_bedelevation,183,198,18,0.7174,6.16,85.63,-1.0077358757575758
config_full\config_full_82_bedelevation,196,228,13,0.7716,7.52,80.06,-1.0542252638157894
config_full\config_full_83_bedelevation,176,201,16,0.7571,6.23,79.38,-1.0815152716915424
config_full\config_full_84_bedelevation,196,229,13,0.775,6.37,82.67,-1.1734982749126637
config_full\config_full_85_bedelevation,191,214,14,0.7431,6.13,78.25,-1.04776152782243
config_full\config_full_86_bedelevation,193,225,16,0.7732,6.21,76.98,-1.0074264884222224
config_full\config_full_87_bedelevation,205,234,17,0.7573,7.15,78.85,-1.0458602319017092
config_full\config_full_88_bedelevation,188,230,9,0.8113,7.13,78.3,-1.1512605016782607
config_full\config_full_89_bedelevation,205,239,13,0.7735,6.76,75.52,-1.0079476036025106
config_full\config_full_8_bedelevation,209,220,24,0.6984,7.68,75.58,-1.0447570607727272
config_full\config_full_90_bedelevation,190,218,13,0.7609,5.87,82.86,-1.0867305683715596
config_full\config_full_91_bedelevation,209,246,16,0.781,6.81,85.05,-1.0552356404634147
config_full\config_full_92_bedelevation,193,236,11,0.811,7.58,85.14,-1.010289557101695
config_full\config_full_93_bedelevation,189,207,18,0.7263,6.9,86.9,-0.9696205910144928
config_full\config_full_94_bedelevation,213,228,21,0.7103,7.4,79.34,-1.024018066508772
config_full\config_full_95_bedelevation,205,228,13,0.7379,7.89,83.81,-1.0976704054385964
config_full\config_full_96_bedelevation,203,208,26,0.6797,5.88,77.43,-1.010458709875
config_full\config_full_97_bedelevation,185,209,16,0.7491,6.88,72.86,-0.9772256775119618
config_full\config_full_98_bedelevation,196,224,17,0.758,7.87,78.77,-0.9845778147812501
config_full\config_full_99_bedelevation,178,192,16,0.7151,6.67,82.92,-1.0366697186979168
config_full\config_full_9_bedelevation,213,237,18,0.7383,7.15,78.34,-1.065122263101266
